Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Cost of Revenue;Gross Profit;Operating Expenses;Selling, General & Administrative;Research & Development;Depreciation & Amortization;Operating Income (Loss);Non-Operating Income (Loss);Interest Expense, Net;Pretax Income (Loss), Adj.;Abnormal Gains (Losses);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
1COV.DE;854465;USD;2020;Q1;2020-03-31;2020-08-10;2021-05-13;182864685;182864685;3070872610;-2462877350;607995260;-543995758;-455720585;-71723578;;73930458;-43034147;-12137836;30896310;;30896310;-7724077;23172233;;22068793;22068793
1COV.DE;854465;USD;2020;Q2;2020-06-30;2020-11-09;2021-08-06;182864685;182864685;2374578776;-2001210406;373368369;-457073372;-370064224;-64981515;;-74893950;-18723487;-12115197;-93617437;;-93617437;35244211;-58373225;;-57271844;-57271844
1COV.DE;854465;USD;2020;Q3;2020-09-30;2021-02-09;2021-11-08;182704602;182704602;3224368244;-2403088941;821279302;-522207465;-435757012;-73599709;;309586081;-25701486;-18691989;283884595;;283884595;-73599709;210284885;;209116636;209116636
1COV.DE;854465;USD;2020;Q4;2020-12-31;2021-03-27;2021-11-08;182480924;182480924;3556251966;-2496791209;1059460758;-605110329;-455297920;-88616135;;496971178;-16114625;-10891466;480856554;;480856554;-129480783;351375772;;358200912;358200912
1COV.DE;854465;USD;2021;Q1;2021-03-31;2021-05-13;2021-05-13;193160544;193160544;3985831574;-2725117989;1260713585;-605046099;-495366427;-87984791;;670130739;-34952862;-15668524;635177877;;635177877;-159095787;476082090;;473671547;473671547
1COV.DE;854465;USD;2021;Q2;2021-06-30;2021-08-06;2021-08-06;193160544;193160544;4763332516;-3387071377;1376261138;-693548920;-556284029;-104754784;;730875338;-21673403;-15653013;709201934;;709201934;-167366840;541835094;;540631016;540631016
1COV.DE;854465;USD;2021;Q3;2021-09-30;2021-11-08;2021-11-08;193160544;193160544;5072013833;-3614782523;1457231310;-702677881;-564736082;-112004024;;771059285;-23579794;-10610907;747479491;;747479491;-189817347;557662143;;556483154;556483154
1COV.DE;854465;USD;2021;Q4;2021-12-31;2022-03-01;2021-11-08;184912207;184912207;4969757488;-3831057848;1138699640;-675710428;-561912121;-98169227;;501098587;-10899293;-6611380;490199295;;490199295;-152482549;337716745;;338954426;338954426
ADS.DE;847329;USD;2021;Q3;2021-09-30;2021-11-10;2021-11-10;195155924;195155924;6781548947;-3381342555;3400206391;-2636221044;-794639080;;;793460090;-50696558;-50696558;742763532;;742763532;-176848460;565915072;594210825;1131830144;1131830144
ADS.DE;847329;USD;2021;Q4;2021-12-31;2022-03-09;2021-11-10;195155924;195155924;5853148166;-2987234260;2865913907;-2861953842;-8227011847;;;59806140;-24467266;-24467266;35338873;-7094680;28244193;99475253;127719446;98466461;213607059;213607059
BAS.DE;854462;USD;2020;Q1;2020-03-31;2020-08-05;2021-05-13;918479000;918479000;18485924847;-13490653446;4995271401;-3947003711;-2532394050;-545099198;;1599987526;-275859918;-114757726;1324127607;;1324127607;-351997255;972130352;24275672;976544110;976544110
BAS.DE;854462;USD;2020;Q2;2020-06-30;2020-11-04;2021-07-28;918479000;918479000;13965518962;-10517093105;3448425857;-3528826715;-2356956670;-528663178;;34142830;-1050718067;-116746451;-1016575236;;-1016575236;38548356;-978026880;15419342;-967013063;-967013063
BAS.DE;854462;USD;2020;Q3;2020-09-30;2021-02-04;2021-10-27;918479000;918479000;16134691966;-12135774393;3998917572;-7503665665;-2495380641;-605153170;;-3147263786;-107478941;-85282203;-3254742728;;-3254742728;711463862;-2543278865;15187241;-2479025150;-2479025150
BAS.DE;854462;USD;2020;Q4;2020-12-31;2021-03-24;2021-10-27;918479000;918479000;18851904646;-14075450190;4776454455;-4454683492;-2564922253;-702021180;;894430001;143891086;-107309236;1038321086;;1038321086;-261446964;776874122;396488803;1167992531;1167992531
BAS.DE;854462;USD;2021;Q1;2021-03-31;2021-05-13;2021-05-13;918479000;918479000;23382259614;-17237787474;6144472139;-3930389103;-2692575669;-615893539;;2619054131;89190062;-102448044;2708244193;;2708244193;-526703476;2181540716;;2070655774;2070655774
BAS.DE;854462;USD;2021;Q2;2021-06-30;2021-07-28;2021-07-28;918479000;918479000;23784152474;-17666232223;6117920251;-4155273132;-2929521742;-656222502;;2568298345;67428367;-86693615;2635726713;;2635726713;-475610804;2160115908;;1991544990;1991544990
BAS.DE;854462;USD;2021;Q3;2021-09-30;2021-10-27;2021-10-27;918479000;918479000;23189549069;-17404246447;5785302622;-4167728708;-2839007278;-616611630;;1912321347;182743408;-89603219;2095064756;;2095064756;-416183375;1678881380;-50696558;1477274136;1477274136
BAS.DE;854462;USD;2021;Q4;2021-12-31;2022-02-25;2021-10-27;918479000;918479000;22571817350;-17209627252;5362190099;-5109749200;-3150485337;-731414790;;1189272933;187620917;-92560783;1376893850;;1376893850;-273336272;1103557577;8870895;1000337339;1000337339
BAYN.DE;849702;USD;2020;Q1;2020-03-31;2020-06-20;2021-05-13;982420000;982420000;14173682603;-5137615119;9036067484;-6745326723;-4233898026;-1436678454;;2757495743;-719442667;-710615149;2038053076;;2038053076;-528547603;1509505473;132412760;1643021673;1643021673
BAYN.DE;849702;USD;2020;Q2;2020-06-30;2020-09-19;2021-08-04;982420000;982420000;11073290824;-4425351355;6647939468;-18854551981;-4048678841;-1285312352;;-11877299407;-303981327;-286359221;-12181280735;;-12181280735;1597003351;-10584277384;78198095;-10515991723;-10515991723
BAYN.DE;849702;USD;2020;Q3;2020-09-30;2020-12-20;2021-11-09;982420000;982420000;9937129090;-7938254428;1998874661;-13633470077;-5757132865;-3932327359;;-10980375772;-12850743;38552229;-10993226515;;-10993226515;1991865165;-9001361349;5792180346;-3205676254;-3205676254
BAYN.DE;849702;USD;2020;Q4;2020-12-31;2021-03-22;2022-03-01;979500000;979500000;11916894195;-4439718003;7477176191;-4601709510;-4186632118;-1568677620;;1434843375;-177461195;-144407850;1257382181;;1257382181;-1081168384;176213796;-301264;172408933;172408933
BAYN.DE;849702;USD;2021;Q1;2021-03-31;2021-05-13;2021-05-13;981690000;981690000;14858582295;-5662363694;9196218600;-5902212646;-4243759592;-1443914794;;3715850844;-419434347;-388097298;3296416497;;3296416497;-777399868;2519016628;;2517811357;2517811357
BAYN.DE;849702;USD;2021;Q2;2021-06-30;2021-08-04;2021-08-04;981690000;981690000;13069062469;-5473738528;7595323941;-10988415708;-4511680216;-1972279742;;-2746501888;-119203720;-245631909;-2865705608;;-2865705608;62612055;-2803093553;;-2811522099;-2811522099
BAYN.DE;849702;USD;2021;Q3;2021-09-30;2021-11-09;2021-11-09;982420000;982420000;11531698584;-4582733094;6948965489;-6693124717;-4440075336;-1843939943;;624864558;-396140550;-357233889;228724008;;228724008;-122614932;106109076;;100214127;100214127
BAYN.DE;849702;USD;2021;Q4;2021-12-31;2022-03-01;2021-11-09;982420000;982420000;12691270021;-4175995576;8515274444;-4708436433;-4921514848;-1135878297;;2371331708;-608789942;-611702088;1762541766;;1762541766;-377035485;1385506279;;1375043771;1375043771
BMW.DE;825112;USD;2020;Q1;2020-03-31;2020-11-07;2021-05-07;659523810;659523810;25657179284;-21757623478;3899555805;-2658186173;-2388946892;;;1517229550;-636684691;-58482302;880544859;;880544859;-247170486;633374372;;611305579;611305579
BMW.DE;825112;USD;2020;Q2;2020-06-30;2021-02-06;2021-08-03;657142857;657142857;-3637043888;1160809306;-2476234582;206236986;190571587;;;-2251491312;1040197911;-29717309;-1211293400;;-1211293400;344190058;-867103341;;-864879460;-864879460
BMW.DE;825112;USD;2020;Q3;2020-09-30;2021-02-05;2021-02-05;659040590;659040590;30705098034;-26014576837;4690521196;-2662440300;-2452155415;;;2247711776;630854656;-50234722;2878566432;;2878566432;-758193837;2120372595;;2086493364;2086493364
BMW.DE;825112;USD;2020;Q4;2020-12-31;2021-02-03;2022-03-16;659040590;659040590;34768201100;-29214675634;5553525465;-3257015761;-2996469828;;;2548777471;77282960;-192199728;2626060431;;2626060431;-674355845;1951704586;;1933491457;1933491457
BMW.DE;825112;USD;2021;Q1;2021-03-31;2021-05-07;2021-05-07;659040590;659040590;32274749894;-26019392812;6255357082;-2814308051;-2499732290;;;3645945120;882258455;-37363404;4528203575;;4528203575;-1113670509;3414533066;;3388017101;3388017101
BMW.DE;825112;USD;2021;Q2;2021-06-30;2021-08-03;2021-05-07;659125964;659125964;2171270616;-1122123803;1049146812;171381630;30349601;;;2385904738;291572066;31337580;2677476805;;2677476805;-319270446;2358206358;;2359413862;2359413862
BMW.DE;825112;USD;2021;Q3;2021-09-30;2021-11-03;2021-08-03;659125964;659125964;64640998350;-52264710823;12376287528;-5668655076;-5113679359;;;7022883717;1505781245;-105225914;8528664962;;8528664962;-2091227020;6437437943;;6387382323;6387382323
BMW.DE;825112;USD;2021;Q4;2021-12-31;2022-03-16;2021-11-03;659125964;659125964;32447166933;-26130685736;6316481196;-3853429905;-3334468111;;;2790051883;465696392;75778338;3255748274;;3255748274;-729092718;2526655556;;2506241456;2506241456
CON.DE;854464;USD;2020;Q1;2020-03-31;2020-08-04;2021-05-06;200205479;200205479;9274962174;-7090151620;2184810553;-2144314317;-962640771;-967275217;;546864702;-59806430;-39834172;487058271;105819864;592878136;-146757476;446120659;-123474899;322535416;322535416
CON.DE;854464;USD;2020;Q2;2020-06-30;2020-11-03;2021-08-05;200297297;200297297;6233049011;-5203807886;1029241125;-1886116027;-813260189;-849055092;;-666446019;2312901;-43834988;-664133117;-68505936;-732639054;153312321;-579326732;-232942212;-816233919;-816233919
CON.DE;854464;USD;2020;Q3;2020-09-30;2021-02-03;2021-11-10;199805556;199805556;10139353055;-7448290645;2691062409;-3792137435;-896397737;-920930973;;-790554344;-122549358;-55608669;-913103702;39837303;-873266399;129208379;-744058019;-77571757;-840321767;-840321767
CON.DE;854464;USD;2020;Q4;2020-12-31;2021-03-27;2021-11-10;199691668;199691668;10776369871;-8094954466;2681415406;-2706090790;-1004950073;-1085952841;;-1033336445;1309295844;-59058113;275959400;5455213;281414612;-73895616;207518996;35282830;215793179;215793179
CON.DE;854464;USD;2021;Q1;2021-03-31;2021-05-06;2021-05-06;200000000;200000000;10335561385;-7730488399;2605072986;-2256026471;-977354346;-984947554;;792586284;-48451898;-49657169;744134385;-47487681;696646703;-153310485;543336218;2048960;539479350;539479350
CON.DE;854464;USD;2021;Q2;2021-06-30;2021-08-05;2021-08-05;199419355;199419355;10059349133;-7610495323;2448853809;-2351323492;-1045019284;-1064043716;;560257487;-75495689;-40457020;484761797;159058702;643820499;-87295654;556524845;121009837;656583726;656583726
CON.DE;854464;USD;2021;Q3;2021-09-30;2021-11-10;2021-11-10;199419355;199419355;9479666952;-7377292459;2102374492;-2218858678;-994124143;-996953718;;449077189;-22400804;-37845570;426676384;-40203549;386472834;-76398534;310074299;64490738;364425726;364425726
CON.DE;854464;USD;2021;Q4;2021-12-31;2022-03-09;2021-11-10;200000000;200000000;10054815587;-8054015985;2000799602;-2691554292;-999342631;-1128245744;;-2164541161;2450648575;36003580;286107414;12079486;298186901;-108680066;189506835;-2166566;162935574;162935574
DPW.DE;854468;USD;2020;Q1;2020-03-31;2020-08-18;2021-05-05;1235054732;1256558547;17063591108;-8482140768;8581450339;-8392762155;;;-1126611906;654339726;-167722830;-134619640;486616895;;486616895;-116964605;369652290;;332135341;332135341
DPW.DE;854468;USD;2020;Q2;2020-06-30;2020-11-17;2021-08-05;1220930233;1250000000;17552718904;-9009301665;8543417239;-8109472880;;;-1037501487;1038602869;-204856981;-168511388;833745887;;833745887;-200451455;633294432;;578225351;578225351
DPW.DE;854468;USD;2020;Q3;2020-09-30;2021-02-17;2021-11-04;1233333333;1270149254;18951341182;-9504876825;9446464357;-8452284148;;;-1053760926;1607511124;-212621384;-196265893;1394889740;;1394889740;-334119318;1060770422;;994180208;994180208
DPW.DE;854468;USD;2020;Q4;2020-12-31;2021-04-26;2021-11-04;1247120730;1159731227;22559599101;-11459142574;11100456528;-9514834458;-25353027544;;-1147789960;2293410863;-225259955;-206881319;2068150907;;2068150907;-489558813;1578592093;;1512402650;1512402650
DPW.DE;854468;USD;2021;Q1;2021-03-31;2021-05-05;2021-05-05;1234109757;1234109757;22731413212;-11550113086;11181300126;-9377009268;;;-1120902136;2303273099;-185611751;-178380124;2117661347;;2117661347;-592993388;1524667959;;1434272625;1434272625
DPW.DE;854468;USD;2021;Q2;2021-06-30;2021-08-05;2021-08-05;1234109757;1234109757;23447010638;-12300860713;11146149924;-9326788086;;;-1147486321;2455115015;-145693436;-180611698;2309421578;;2309421578;-646589878;1662831699;;1555668759;1555668759
DPW.DE;854468;USD;2021;Q3;2021-09-30;2021-11-04;2021-11-04;1234109757;1234109757;23622238302;-12605758231;11016480070;-9538026944;;;-1147157010;2091527787;-170953511;-155626644;1920574276;;1920574276;-538798308;1381775967;;1281561840;1281561840
DPW.DE;854468;USD;2021;Q4;2021-12-31;2022-03-09;2021-11-04;1234109757;1234109757;26837245563;-15430842819;11406402745;-9818106680;-28235644176;;-1038954073;2548356219;-191668992;-141868147;2356687227;;2356687227;-511581459;1845105769;;1705468056;1705468056
DTE.DE;1099105;USD;2021;Q4;2021-12-31;2022-02-24;2021-11-12;4743000000;4743000000;33110159167;-16000556718;17109602448;-14350436590;-5445208524;;-7823234958;2990049610;-1698285433;-1299001471;1291764176;-319658123;972106054;-79011639;893094414;;502210458;502210458
DWNI.DE;1105024;USD;2020;Q1;2020-03-31;2020-05-14;2021-05-14;354530000;354530000;428289074;-165405607;262883467;-101626793;-62675373;;-10372332;163132521;-55514049;-56065769;107618471;30223212;137841683;551719;138393403;;2891011;2891011
DWNI.DE;1105024;USD;2020;Q2;2020-06-30;2020-08-13;2021-05-14;351500000;351500000;432622700;-164986966;267635734;-82273207;-62007785;;-10573263;186904461;-42623468;-43284297;144280992;62338199;206619192;-106063050;100556142;;98353378;98353378
DWNI.DE;1105024;USD;2020;Q3;2020-09-30;2020-11-13;2021-05-14;338846154;338846154;421037070;-143227372;277809698;-89955201;-70094961;;-11916143;192293845;-38552229;-39720478;153741616;-21262138;132479477;-25935135;106544341;;102922768;102922768
DWNI.DE;1105024;USD;2020;Q4;2020-12-31;2021-02-13;2021-05-14;383471846;383471846;409435933;-141884734;267551198;-90354415;-69799484;;-12798327;203765523;-38371015;-46159688;165394509;1914458881;2079853389;-664570796;1415282593;;1376157512;1376157512
DWNI.DE;1105024;USD;2021;Q1;2021-03-31;2021-05-14;2021-05-14;357087000;357087000;461498309;-161867910;299630398;-70267305;-68459399;;-11811656;230447837;-46523465;-39532892;183924372;87382155;271306527;-30613886;240692641;;4097921;4097921
EOAN.DE;854469;USD;2020;Q1;2020-03-31;2020-08-23;2021-05-11;2607000000;2607000000;19492261829;-15172295508;4319966321;-8805448593;-1506195154;;-977647550;284687435;-334342221;-560547354;-49654785;;-49654785;-196412261;-246067047;-98206130;-483306576;-483306576
EOAN.DE;854469;USD;2020;Q2;2020-06-30;2020-11-22;2021-08-11;2607000000;2607000000;14139537258;-10609609161;3529928097;-3352605656;-1625639273;;-1013271091;924059180;269838497;-270939878;1193897677;;1193897677;-518750743;675146934;28635922;659727591;659727591
EOAN.DE;854469;USD;2020;Q3;2020-09-30;2021-02-22;2021-11-10;2607000000;2607000000;14966442602;-11566836953;3399605649;-3723210723;-1651904600;;-1070116417;989507211;-114488437;-344633562;875018773;;875018773;-49066473;825952300;28037984;817774554;817774554
EOAN.DE;854469;USD;2020;Q4;2020-12-31;2021-04-26;2021-11-10;2293000000;2293000000;20820049459;-16358603429;4461446030;-7097419304;-1907417620;;-1691618226;637664367;-159940820;-406197875;477723547;;477723547;-216687317;261036230;-1785762;192134182;192134182
EOAN.DE;854469;USD;2021;Q1;2021-03-31;2021-05-11;2021-05-11;2293000000;2293000000;22179399042;-17575263386;4604135656;-6545827420;-1740411488;;-1154649727;1681353204;-43389760;-367607689;1637963444;;1637963444;-409792178;1228171265;;965422162;965422162
EOAN.DE;854469;USD;2021;Q2;2021-06-30;2021-08-11;2021-08-11;2607000000;2607000000;17625293571;-15426647167;2198646404;-7525487417;-1712198897;;-1166751569;2600808451;-31306027;-493671974;2569502423;;2569502423;-458753712;2110748710;;2103524243;2103524243
